id,callnumber,mainentry,isbn,title,author,placeofpublication,publisher,year,edition,physicaldesc,series,notesarea,subject,addedentry,price,copies,date,note,source
726,,,,"????? ????? ?????? tafsir albahr almuhit 
","???? ?? ???? ?????? ???? ???? ???????? Muhammad ibn Yusuf, dikenali sebagai Abu Hayyan al-Andalusi",?????-?????,??? ????? ???????,,j3,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
727,,,,"????? ????? ?????? tafsir albahr almuhit 
","???? ?? ???? ?????? ???? ???? ???????? Muhammad ibn Yusuf, dikenali sebagai Abu Hayyan al-Andalusi",?????-?????,??? ????? ???????,,j4,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
728,,,,"????? ????? ?????? tafsir albahr almuhit 
","???? ?? ???? ?????? ???? ???? ???????? Muhammad ibn Yusuf, dikenali sebagai Abu Hayyan al-Andalusi",?????-?????,??? ????? ???????,,j5,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
729,,,,"????? ????? ?????? tafsir albahr almuhit 
","???? ?? ???? ?????? ???? ???? ???????? Muhammad ibn Yusuf, dikenali sebagai Abu Hayyan al-Andalusi",?????-?????,??? ????? ???????,,j6,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
730,,,,"????? ????? ?????? tafsir albahr almuhit 
","???? ?? ???? ?????? ???? ???? ???????? Muhammad ibn Yusuf, dikenali sebagai Abu Hayyan al-Andalusi",?????-?????,??? ????? ???????,,j7,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
731,,,,"????? ????? ?????? tafsir albahr almuhit 
","???? ?? ???? ?????? ???? ???? ???????? Muhammad ibn Yusuf, dikenali sebagai Abu Hayyan al-Andalusi",?????-?????,??? ????? ???????,,j8,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
732,,,,"????? ????? ?????? tafsir albahr almuhit 
","???? ?? ???? ?????? ???? ???? ???????? Muhammad ibn Yusuf, dikenali sebagai Abu Hayyan al-Andalusi",?????-?????,??? ????? ???????,,j9,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
733,,,,????? ?????? ?? ????? ?????? Pernyataan ringkas mengenai makna Al-Quran,????? ?? ??? ????? ?? ?????? ?????????? Mahmoud bin Abi Al-Hassan bin Al-Hussein Al-Nisaburi,??????? ??????? ??????? ????????,????? ??????,1997,e1 j1,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
734,,,,????? ?????? ?? ????? ?????? Pernyataan ringkas mengenai makna Al-Quran,????? ?? ??? ????? ?? ?????? ?????????? Mahmoud bin Abi Al-Hassan bin Al-Hussein Al-Nisaburi,??????? ??????? ??????? ????????,????? ??????,1997,e1 j2,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
735,,,,"??? ??????? ?? ???? ??? ??????? ??????? kashf al'asrar ean 'usul fakhr al'iislam albizdawii
",?????? ???? ????? ??? ?????? ?? ???? ??????? Imam Alaa Al-Din Abdul Aziz bin Ahmed Al-Bukhari,?????-?????,??? ????? ???????,1997,j2,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
736,,,,"??? ??????? ?? ???? ??? ??????? ??????? kashf al'asrar ean 'usul fakhr al'iislam albizdawii
",?????? ???? ????? ??? ?????? ?? ???? ??????? Imam Alaa Al-Din Abdul Aziz bin Ahmed Al-Bukhari,?????-?????,??? ????? ???????,1997,j3,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
737,,,,"??? ??????? ?? ???? ??? ??????? ??????? kashf al'asrar ean 'usul fakhr al'iislam albizdawii
",?????? ???? ????? ??? ?????? ?? ???? ??????? Imam Alaa Al-Din Abdul Aziz bin Ahmed Al-Bukhari,?????-?????,??? ????? ???????,1997,j4,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
738,,,,?????? ?????? ?????? aljamie liahkam alquran,?????? ??? ??? ???? ???? ?? ???? ???????? ??????? Imam Abu Abdullah Muhammad bin Ahmed Al-Ansari Al-Qurtubi,?????-?????,??? ????? ???????,,2-Jan,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
739,,,,?????? ?????? ?????? aljamie liahkam alquran,?????? ??? ??? ???? ???? ?? ???? ???????? ??????? Imam Abu Abdullah Muhammad bin Ahmed Al-Ansari Al-Qurtubi,?????-?????,??? ????? ???????,,4-Mar,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
740,,,,?????? ?????? ?????? aljamie liahkam alquran,?????? ??? ??? ???? ???? ?? ???? ???????? ??????? Imam Abu Abdullah Muhammad bin Ahmed Al-Ansari Al-Qurtubi,?????-?????,??? ????? ???????,,6-May,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
741,,,,?????? ?????? ?????? aljamie liahkam alquran,?????? ??? ??? ???? ???? ?? ???? ???????? ??????? Imam Abu Abdullah Muhammad bin Ahmed Al-Ansari Al-Qurtubi,?????-?????,??? ????? ???????,,8-Jul,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
742,,,,?????? ?????? ?????? aljamie liahkam alquran,?????? ??? ??? ???? ???? ?? ???? ???????? ??????? Imam Abu Abdullah Muhammad bin Ahmed Al-Ansari Al-Qurtubi,?????-?????,??? ????? ???????,,10-Sep,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
743,,,,?????? ?????? ?????? aljamie liahkam alquran,?????? ??? ??? ???? ???? ?? ???? ???????? ??????? Imam Abu Abdullah Muhammad bin Ahmed Al-Ansari Al-Qurtubi,?????-?????,??? ????? ???????,,12-Nov,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
744,,,,?????? ?????? ?????? aljamie liahkam alquran,?????? ??? ??? ???? ???? ?? ???? ???????? ??????? Imam Abu Abdullah Muhammad bin Ahmed Al-Ansari Al-Qurtubi,?????-?????,??? ????? ???????,,13-14,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
745,,,,?????? ?????? ?????? aljamie liahkam alquran,?????? ??? ??? ???? ???? ?? ???? ???????? ??????? Imam Abu Abdullah Muhammad bin Ahmed Al-Ansari Al-Qurtubi,?????-?????,??? ????? ???????,,15-16,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
746,,,,?????? ?????? ?????? aljamie liahkam alquran,?????? ??? ??? ???? ???? ?? ???? ???????? ??????? Imam Abu Abdullah Muhammad bin Ahmed Al-Ansari Al-Qurtubi,?????-?????,??? ????? ???????,,17-18,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
747,,,,?????? ?????? ?????? aljamie liahkam alquran,?????? ??? ??? ???? ???? ?? ???? ???????? ??????? Imam Abu Abdullah Muhammad bin Ahmed Al-Ansari Al-Qurtubi,?????-?????,??? ????? ???????,,19-20,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
748,,,,?????? ?????? ?????? aljamie liahkam alquran,?????? ??? ??? ???? ???? ?? ???? ???????? ??????? Imam Abu Abdullah Muhammad bin Ahmed Al-Ansari Al-Qurtubi,?????-?????,??? ????? ???????,,21,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
